model,n,money_exact_rate,price_multiset_exact_rate,item_count_exact_rate,total_price_exact_rate,item_price_only_recall_mean,name_quality_mean,name_acceptable_rate,json_validity_rate,schema_valid_rate,shop_name_exact_rate,shop_name_similarity_mean,item_f1_mean,exact_match_rate,discount_f1,reconciliation_pass_rate,mean_latency_s,mean_tokens_per_s
qwen3.5-2b,160,0.19375,0.23125,0.3875,0.725,0.6675181275660185,77.49371705783801,0.8171808583573288,0.98125,0.74375,0.275,76.56080177971704,0.549980001263239,0.0,0.2747252747252747,0.2875,8.455466359853745,29.147043454170024
gemma-4-e4b-it,160,0.2875,0.31875,0.6375,0.8125,0.7886346825796323,85.84222663649797,0.9026850094876658,1.0,0.925,0.35625,81.95232759067532,0.7020276020826854,0.03125,0.38016528925619836,0.49375,25.566133286058903,16.89968538412002
typhoon2-qwen2.5-7b,160,0.325,0.375,0.6625,0.79375,0.7785726214789681,78.24559879513676,0.80262654012654,0.99375,0.6375,0.34375,77.55308509934629,0.6469492458382486,0.05625,0.392156862745098,0.475,5.574962310492992,34.110207676079185
qwen3.5-9b,160,0.2625,0.3,0.56875,0.7625,0.7827440923691891,84.24593613254245,0.8876791625741205,1.0,0.96875,0.2375,76.35545270286002,0.682922396936452,0.0,0.2994011976047904,0.55,10.020017382502555,22.411671161557823
llama-sea-lion-v3-8b-it,160,0.19375,0.2375,0.43125,0.7375,0.7845559314696312,86.89058881063846,0.8981766780786388,0.99375,0.7,0.16875,62.99655494254806,0.656117250997475,0.0,0.30120481927710846,0.3375,5.90720002502203,34.75134165176094
"claude-sonnet-5-zeroshot (n=20, reference only)",20,0.7,0.7,0.85,0.95,0.9149065846434269,87.17286872525688,0.8275,1.0,1.0,0.85,94.6,0.7900932400932401,0.2,0.8750000000000001,0.9,,
