model,n,money_exact_rate,price_multiset_exact_rate,item_count_exact_rate,total_price_exact_rate,item_price_only_recall_mean,name_quality_mean,name_acceptable_rate,json_validity_rate,schema_valid_rate,shop_name_exact_rate,shop_name_similarity_mean,item_f1_mean,exact_match_rate,discount_f1,reconciliation_pass_rate,mean_latency_s,mean_tokens_per_s
Qwen3.5-2B zero-shot (raw output),68,0.4852941176470588,0.5147058823529411,0.6176470588235294,0.7941176470588235,0.8192535837864556,59.568892377043944,0.5810860831548068,0.9852941176470589,0.8676470588235294,0.10294117647058823,53.14949840406424,0.4544647097918718,0.0,0.0,0.7058823529411765,,
Qwen3.5-2B zero-shot + code-layer normalization,68,0.5147058823529411,0.5294117647058824,0.6176470588235294,0.8676470588235294,0.8388614269237107,59.47025578067998,0.5877355104063178,0.9852941176470589,0.9411764705882353,0.10294117647058823,53.14949840406424,0.4667196117526562,0.0,0.0,0.7058823529411765,,
qwen3.5-2b-qlora ckpt-550 (raw output),68,0.6470588235294118,0.6470588235294118,0.7647058823529411,0.8235294117647058,0.8290529107570629,75.69400724609382,0.7370023419203747,0.9852941176470589,0.9264705882352942,0.6617647058823529,85.45596040153946,0.6236747729394788,0.10294117647058823,0.0,0.8676470588235294,,
qwen3.5-2b-qlora ckpt-550 + code-layer normalization,68,0.6764705882352942,0.6764705882352942,0.7647058823529411,0.8823529411764706,0.8682685970315728,73.79090923892224,0.7024553571428571,0.9852941176470589,0.9852941176470589,0.6617647058823529,85.45596040153946,0.6236747729394788,0.10294117647058823,0.0,0.8676470588235294,,
